pos	3pG>A
1	0.0110394420655139
2	0.00456781447645819
3	0.00263212868184667
4	0.00214431444393555
5	0.00175552258145416
6	0.00210822206605762
7	0.00215330701513648
8	0.00205953543674891
9	0.00221507991660876
10	0.00208606636701865
11	0.00162598100854182
12	0.00169679566664491
13	0.00146338359737863
14	0.0014601674898003
15	0.00111290533758129
16	0.00103689622396958
17	0.00119505464658975
18	0.00113215763117788
19	0.000998805775702964
20	0.000972699565527527
21	0.000735119240665067
22	0.000811272416737831
23	0.00103613521564564
24	0.000568430257979886
25	0.000476644423260248
