pos	5pC>T
1	0.0115554122326131
2	0.00466382395492271
3	0.00254179496187308
4	0.00201675138394419
5	0.00203125647722091
6	0.0018578727357176
7	0.00241982998064136
8	0.00193566033369101
9	0.00187151810584958
10	0.00177096891202765
11	0.0015055382299172
12	0.00125960995526213
13	0.00118954053996644
14	0.00148980547397097
15	0.00144789730734322
16	0.00107751653987889
17	0.00123349924258818
18	0.00108828138603517
19	0.00064149168199119
20	0.000639413444733365
21	0.000519953204211621
22	0.000472346272758502
23	0.000949483179042317
24	0.000675955604980266
25	0.00049228398364761
